2026-01-08 16:52:46 | [32mINFO[0m | model_google_stt | info:113 | Google STT 客戶端初始化成功
2026-01-08 16:56:21 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194402.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:22 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194433.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:22 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194517.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:22 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194612.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:22 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194701.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:23 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222194854.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:23 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222195129.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:23 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222195155.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:23 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222195242.wav): 400 The model "chirp" does not exist in the location named "global"..
2026-01-08 16:56:23 | [31mERROR[0m | model_google_stt | error:121 | 辨識失敗 (/Users/apple/Projects/aiSpeech/experiments/Test_02_TMRT/source_audio/UltraLog06320251222195413.wav): 400 The model "chirp" does not exist in the location named "global"..
